"estado";"cidade";"bairro";"cep";"logradouro";"latitude";"longitude";"altitude";"ddd";"cod_IBGE"
"RJ";"Rio de Janeiro";"Maracanã";"20271100";"Rua Isidro de Figueiredo";-22,9146183;-43,2314664;18,3;21;"3304557"
"RJ";"Rio de Janeiro";"Maracanã";"20271120";"Avenida Paula Sousa";-22,9138742;-43,2270743;15,2;21;"3304557"
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"RJ";"Rio de Janeiro";"Tijuca";"20510060";"Rua Uruguai";-22,9338086635;-43,2402547974;33,7;21;"3304557"
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"RJ";"Rio de Janeiro";"Tijuca";"20510100";"Rua Carvalho Alvim";-22,9325728;-43,2410248;33,7;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20510130";"Rua Maria Amália";-22,9286416;-43,2439914;31,8;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20510180";"Rua Homem de Melo";-22,9337478;-43,2379558;43,3;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20511000";"Avenida Maracanã";-22,9232756;-43,2359687;26,1;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20511190";"Rua Antônio Basílio";-22,9269221;-43,2378235;29,4;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20511200";"Rua Conde de Itaguaí";-22,9273954;-43,2369517;28,9;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20511210";"Rua Carlos de Laet";-22,9264925;-43,2362284;29,3;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20511290";"Rua Palmira Gonçalves Maia";-22,9333213;-43,242236;31,3;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20520040";"Rua Rego Lópes";-22,9251816;-43,223482;32,2;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20520050";"Rua Conde de Bonfim";-22,9325728;-43,2410248;33,7;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20520055";"Rua Conde de Bonfim";-22,928769;-43,2368052;32,2;21;"3304557"
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"RJ";"Rio de Janeiro";"Tijuca";"20521000";"Rua dos Araujos";-22,9263918;-43,2267016;30,8;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20521060";"Rua Bom Pastor";-22,9294284;-43,23175;31,7;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20521170";"Rua Barão de Pirassinunga";-22,9277355;-43,2319062;29,2;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20521180";"Rua Guapiara";-22,9266113;-43,2318629;26,8;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20521250";"Rua Sabóia Lima";-22,9343204;-43,234588;78,8;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20521290";"Rua Ângelo Agostini";-22,9315906;-43,2332807;56,7;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20530290";"Rua Embaixador Ramon Carcano";-22,9394705;-43,2496812;45,1;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20530420";"Rua São Miguel";-22,9395043;-43,2515467;54,9;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20530500";"Rua General Espírito Santo Cardoso";-22,9313656;-43,2457228;34,2;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20530560";"Rua Amoroso Costa";-22,9328017;-43,2484985;36,9;21;"3304557"
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"RJ";"Rio de Janeiro";"Tijuca";"20540003";"Rua Barão de Mesquita";-22,9213879;-43,2321404;21,3;21;"3304557"
"RJ";"Rio de Janeiro";"Tijuca";"20540100";"Rua Adolfo Mota";-22,9205628;-43,232609;19;21;"3304557"
"RJ";"Rio de Janeiro";"Vila Isabel";"20540110";"Rua Tomás Coelho";-22,9225897;-43,238105;20,4;21;"3304557"
